'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 36', '2019, 7, 24, 0, 46, 36'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 36', '2019, 7, 24, 0, 46, 37'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 37', '2019, 7, 24, 0, 46, 38'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 38', '2019, 7, 24, 0, 46, 40'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 40', '2019, 7, 24, 0, 46, 40'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 41', '2019, 7, 24, 0, 46, 42'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 42', '2019, 7, 24, 0, 46, 42'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 42', '2019, 7, 24, 0, 46, 43'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 43', '2019, 7, 24, 0, 46, 44'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 44', '2019, 7, 24, 0, 46, 46'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 46', '2019, 7, 24, 0, 46, 47'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 47', '2019, 7, 24, 0, 46, 49'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 49', '2019, 7, 24, 0, 46, 49'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 49', '2019, 7, 24, 0, 46, 50'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 50', '2019, 7, 24, 0, 46, 51'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 51', '2019, 7, 24, 0, 46, 51'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 51', '2019, 7, 24, 0, 46, 51'
'NHX6300 3', 'In Cycle', '2019, 7, 24, 0, 46, 51', '2019, 7, 24, 0, 46, 52'
'NHX6300 3', 'Idle - Uncategorized', '2019, 7, 24, 0, 46, 53', '2019, 7, 24, 0, 46, 53'
