"id","order_type","seq_no","status_type_val","pr_order_no","sa_order_line_no","company_name","to_item_no","due_dt","toshop_dt","process_by_dt","order_qty,order_uom","form_dim1","form_dim2","form_dim3","form_dim4","form_dim5","form_dim6","dim1","dim2","dim3","dim4","dim5","dim6","dim_uom","pr_center_no","short_desc","instruction"
MARK HEAT LOT ON ALL PIECES"
"4-MO0000147WK-200-611","MFG","200","Scheduled","MO0000147WK","WO0151156-1/1","South Bay Solutions, Inc.","6061 6.7 T651 PLATE SBS-ENG-100204","3/21/23","3/7/23","3/21/23","14 ea","6.7","","","","","","","","","","","","in","BUR-Visionwide 3116","Visionwide 3116","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT SBS-ENG-100204
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000148WK-100-614","MFG","100","Scheduled","MO0000148WK","WO0151157-1/1","South Bay Solutions, Inc.","6061 4.9 T651 PLATE 0042-30762","3/22/23","3/7/23","3/22/23","2 ea","4.9","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 4.9" PLATE
CUT SIZE 22.9 x 23.9
CUT TOLERANCE +.060/-0"
"4-MO0000148WK-200-616","MFG","200","Scheduled","MO0000148WK","WO0151157-1/1","South Bay Solutions, Inc.","6061 4.9 T651 PLATE 0042-30762","3/22/23","3/7/23","3/22/23","2 ea","4.9","","","","","","","","","","","","in","BUR-Visionwide 3116","Visionwide 3116","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
MACHINE BLOCKS TO PRINT
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000149WK-100-642","MFG","100","Scheduled","MO0000149WK","WO0151418-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 7.4 T651 PLATE 0035-01179","3/20/23","3/16/23","3/20/23","1 ea","7.4","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","CUT SIZE 28.84 X 29.13
CUT TOLERANCE +.125/-0
MARK HEAT LOTS ON ALL PIECES"
"4-MO0000149WK-200-639","MFG","200","Scheduled","MO0000149WK","WO0151418-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 7.4 T651 PLATE 0035-01179","3/20/23","3/16/23","3/20/23","1 ea","7.4","","","","","","","","","","","","in","BUR-OKK HM1000S","OKK HM1000S","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT 0035-01179 REV 01
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000150WK-100-644","MFG","100","Scheduled","MO0000150WK","WO0144739-1/1","Benchmark Electronics","6061 8.08 T651 PLATE 0035-00532","3/31/23","3/16/23","3/31/23","65 ea","8.08","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","CUT SIZE 21.48 X 41.78
CUT TOLERANCE +.120/-0
DOT PEEN EACH PART WITH THE FOLLOWING:
PO#, WO#, PART # W/ REV# , ALLOY AND TEMPER, AND HEAT LOT"
"4-MO0000150WK-200-646","MFG","200","Scheduled","MO0000150WK","WO0144739-1/1","Benchmark Electronics","6061 8.08 T651 PLATE 0035-00532","3/31/23","3/16/23","3/31/23","65 ea","8.08","","","","","","","","","","","","in","BUR-OKK HM1000S","OKK HM1000S","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS AND QUANTITY
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOC
VERIFY CORRECT PROGRAM IS LOADED IN MACHINE
MACHINE BLOCKS TO PRINT
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000150WK-225-649","MFG","225","Scheduled","MO0000150WK","WO0144739-1/1","Benchmark Electronics","6061 8.08 T651 PLATE 0035-00532","3/31/23","3/16/23","3/31/23","65 ea","8.08","","","","","","","","","","","","in","BUR-Makino a120","Makino a120",""
"4-MO0000152WK-100-671","MFG","100","Scheduled","MO0000152WK","WO0145334-1/13","Peacock Industries ","5083 H32 2.5" Alum Armor Plate 12594640-2","4/10/23","3/16/23","4/10/23","5 ea","2.5","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","CUT SIZE 4.6 x 13.75
CUT TOLERANCE +.125/-0
MARK HEAT LOT ON ALL BLOCKS
PALLETIZE HEAT LOTS SEPERATELY
MOVE PARTS TO ROBODRILL TO BE MACHINED"
"4-MO0000152WK-200-673","MFG","200","Scheduled","MO0000152WK","WO0145334-1/13","Peacock Industries ","5083 H32 2.5" Alum Armor Plate 12594640-2","4/10/23","3/16/23","4/10/23","5 ea","2.5","","","","","","","","","","","","in","BUR-Fanuc Robodrill","Fanuc Robodrill","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT 12594640-1 REV -
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000153WK-100-651","MFG","100","Scheduled","MO0000153WK","WO0151440-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 8.45 T651 PLATE 0035-01228","3/30/23","3/17/23","3/30/23","1 ea","8.45","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 8.45" PLATE
CUT SIZE 37.5 X 37.5
CUT TOLERANCE +.125/-0
MARK HEAT LOT ON ALL PIECES"
"4-MO0000153WK-200-653","MFG","200","Scheduled","MO0000153WK","WO0151440-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 8.45 T651 PLATE 0035-01228","3/30/23","3/17/23","3/30/23","1 ea","8.45","","","","","","","","","","","","in","BUR-Hyundai KH1000","Hyundai KH1000","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT 0035-01228
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000154WK-100-766","MFG","100","Unscheduled","MO0000154WK","WO0148049-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 11.41 T651 PLATE 0035-01242","3/20/23","3/17/23","3/20/23","6 ea","11.41","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 11.4" PLATE
CUT SIZE 21.84 X 43.25
CUT TOLERANCE +.125/-0"
"4-MO0000154WK-200-768","MFG","200","Unscheduled","MO0000154WK","WO0148049-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 11.41 T651 PLATE 0035-01242","3/20/23","3/17/23","3/20/23","6 ea","11.41","","","","","","","","","","","","in","BUR-Hyundai KH1000","Hyundai KH1000","PULL CORRESPONDING BLOCKS FROM SAWS
STAGE PARTS IN FRONT OF MACHINE
VERIFY HEAT LOTS
MEASURE BLOCKS BEFORE LOADING MATERIAL
PULL/PRINT AND REVIEW SET-UP DOCS FOR OPS 1 AND 2
VERIFY CORRECT PROGRAMS ARE LOADED IN MACHINE
MACHINE BLOCKS TO PRINT 0035-01242 REV 02
INSPECT FINISHED BLOCK ON ATTACHED SHEETS
TAKE FIRST PART TO QUALITY FOR BUYOFF"
"4-MO0000155WK-100-686","MFG","100","Scheduled","MO0000155WK","WO0146429-1/1","FOXSEMICON INTEGRATED TECHNOLOGY (SHANGHAI) INC","6061 9.75 T651 PLATE 0035-00580","4/5/23","3/17/23","4/5/23","24 ea","9.75","","","","","","","","","","","","in","BUR-Plate Saws","Plate Saws","PULL MARKED 9.75" PLATE
CUT SIZE 45.7 X 57.75
CUT TOLERANCE +.120/-0
MARK HEAT LOT ON ALL PIECES"
